,user,location,followers,following,unfiltered_text,retweets,likes,listed_count,tweets,mentions,isreply,verified,hashtags,days,retweeted_before,text,popularity,city,topics,sentiment
6,KBIS,"Las Vegas, NV",28522,10034,"Do you have a ""latest and greatest"" product that will leave the industry feeling shook? Enter now for the prestigio… https://t.co/WqiUwbXlGh",0,0,389,30121,0,0,1,0,3322,0,have latest greatest product that will leave industry feel shake enter prestigio,1.2697919449503758,LAS_VEGAS,0,positive
30,ok32650586,"Las Vegas, NV",3806,3805,@NipRussell They all got some sandwiches! I made them peanut butter on dark wheat bread sandwiches. They get a half… https://t.co/bjKq3anuKS,0,1,5,31822,1,1,0,0,447,0,niprussell they some sandwich make them peanut butter dark wheat bread sandwich they half,1.0016759683717218,LAS_VEGAS,0,negative
11,OgrePatrickKush,"Chicago, IL ",986,687,"RT @bokamotoESPN: Darren also told me he doesn’t care if Kelvin was heavy. I told him, you’d be owed that fine money. He said, he, let him…",437,0,26,17708,1,0,0,0,3122,1,bokamotoespn darren also tell doesn care kelvin heavy tell owe that fine money say him,0.9224372982732919,LAS_VEGAS,0,positive
32,876DANIELLE,England/Jamaica/Cayman,1673,938,RT @ovowidwid: the ending of American Son got my heart breaking!,35,0,18,131340,1,0,0,0,2448,1,ovowidwid end american heart break,0.8780683455870242,LAS_VEGAS,0,neutral
23,TheDropcom,"Las Vegas, NV",108,81,"🔥🔥🔥 Some of the 'new-new' dropping: Staple x Timberla...
 https://t.co/rrQdGisvYW  

#thedrop #thenewnew #streetwear #sneaker #skateboarding",0,0,1,27212,0,0,0,5,755,0,some newnew drop staple timberla thedrop thenewnew streetwear sneaker skateboard,0.7060904034071035,LAS_VEGAS,0,neutral
26,bowdabra,"Las Vegas, NV",1617,1961,Do you have various charms lying around that you just don’t know what to do with?  This gorgeous charm necklace is… https://t.co/oqRuQFtkHk,0,0,43,12715,0,0,0,0,4012,0,have various charm lie around that just know what with this gorgeous charm necklace,0.6730916895499122,LAS_VEGAS,0,positive
49,karl_torrez,Las Vegas,267,204,The hectic rush of the demands of the day may have you simulta... More for Libra https://t.co/267rLJTzQU,0,0,1,18126,0,0,0,0,2798,0,hectic rush demand have simulta more libra,0.5146636650735338,LAS_VEGAS,0,positive
17,HBRADIO_LV,"Las Vegas, NV",4007,884,NOW PLAYING 6Huncho Ft. Harv - Whole Lot,0,0,18,332843,0,0,0,0,1584,0,play 6huncho harv whole,0.42364547094052624,LAS_VEGAS,0,positive
7,LaRaeQuy,San Francisco,80559,69024,RT @iris_xyz: 4 Healthy Ways You Can Boost Your Self Esteem https://t.co/aHpTVMCfiv @LaRaeQuy #leadership,1,0,1992,70583,2,0,0,1,3652,1,irisxyz healthy ways boost your self esteem laraequy leadership,1.931824730373896,LAS_VEGAS,1,positive
44,RENEEWEATHERS2,"Las Vegas, NV",26877,27373,@GailWorkman12 @blueheartedly @michelle_spenc @Samiknowsbest1 @VintageKnits @AllanMargolin @SigneWilk @Resister101… https://t.co/WiYZs20un1,0,1,21,44659,8,1,0,0,533,0,gailworkman12 blueheartedly michellespenc samiknowsbest1 vintageknits allanmargolin signewilk resister101,1.4009011509887046,LAS_VEGAS,1,neutral
