,user,location,followers,following,unfiltered_text,retweets,likes,listed_count,tweets,mentions,isreply,verified,hashtags,days,retweeted_before,text,popularity,city,topics,sentiment
19,kritikaswords,"Lucknow,India ",1905,2812,@KelvinROfficial yikes 🙈🤣,0,0,15,3031,1,1,0,0,3549,0,kelvinrofficial yikes,1.1626990158398913,LUCKNOW,0,neutral
3,manojkondh,Lucknow,17,246,@authoramish Har har Mahadev ... everyone is Mahadev,0,0,0,380,1,1,0,0,3535,0,authoramish mahadev everyone mahadev,1.0076142147713458,LUCKNOW,0,neutral
5,AakashRoy_09,"West Bengal, India",142,228,"RT @Akshay_Brigade: Amitabh Bachchan Asked Hima Das On KAUN BANEGA KARODPATI That Who Is Your Favourite Actor In Bollywood 
She Said ~ AKSH…",133,0,0,5454,1,0,0,0,521,1,akshaybrigade amitabh bachchan ask hima kaun banega karodpati that your favourite actor bollywood say aksh,0.6577650782938838,LUCKNOW,0,neutral
14,utkarshsvt,"Lucknow, India",43,59,"Environment is the integral part of lifestyle of every individual on this planet. Wherever we live, atmosphere effe… https://t.co/Ypui6HrWex",0,0,0,409,0,0,0,0,723,0,environment integral part lifestyle every individual this planet wherever live atmosphere effe,0.25447683641547225,LUCKNOW,0,positive
2,BJP4UP,"Lucknow, India",1332303,153,"Indian community is all set to welcome PM Shri @narendramodi at 'Sawasdee PM Modi' programme in Bangkok, Thailand.… https://t.co/OWgViZeHZs",1,6,279,46312,1,0,1,0,2164,1,indian community welcome shri narendramodi sawasdee modi programme bangkok thailand,2.445968235184746,LUCKNOW,1,positive
42,ankitc265,Lucknow,3947,1810,"RT _kevinlim: Why Your #Content Strategy Is Failing + What Can You Do About It:
- A large discrepancy between conte… https://t.co/MsWL4gQG2S",0,0,2790,154672,0,0,0,1,3377,0,kevinlim your content strategy fail what about large discrepancy between conte,1.9376764261799044,LUCKNOW,1,negative
6,jamaluddin_dr,,225,528,RT @amitkvishal1: @kamleshRnarayan @mpchalia @dilipmandal @ihansraj @cbhanp @DalitOnLine @ShivChandraRamm @Bahujan4India @bahujanwarrior @D…,15,0,0,29637,10,0,0,0,910,1,amitkvishal1 kamleshrnarayan mpchalia dilipmandal ihansraj cbhanp dalitonline shivchandraramm bahujan4india bahujanwarrior,1.0813922319623217,LUCKNOW,1,neutral
18,gamer_kundan,Patna India,111,209,RT @amitkvishal1: @kamleshRnarayan @mpchalia @dilipmandal @ihansraj @cbhanp @DalitOnLine @ShivChandraRamm @Bahujan4India @bahujanwarrior @D…,15,0,0,3255,10,0,0,0,190,1,amitkvishal1 kamleshrnarayan mpchalia dilipmandal ihansraj cbhanp dalitonline shivchandraramm bahujan4india bahujanwarrior,1.054905497198457,LUCKNOW,1,neutral
44,siddhanntsingh,"Lucknow, Uttar Pradesh",61,254,"@TheGopalan @NotTheArmyDoc @LostTemple7 Ah! Classic oldie move. What does the other person know, I know everything.",0,0,0,927,3,1,0,0,1488,0,thegopalan notthearmydoc losttemple7 classic oldie move what do other person know know everything,1.0043720033675128,LUCKNOW,1,positive
27,sanat397,new delhi,32206,231,RT @bps19: Do not trust everything you see on social media 😄😜😃😀 https://t.co/hdjHVpK7uP,1,0,68,130188,1,0,0,0,2218,1,bps19 trust everything social media,0.8554108071978925,LUCKNOW,1,positive
40,PandeyJaideep,New Delhi || #लखनऊ,3099,170,RT @neeleshmisra: Ah! I loved writing this song that became the signature tune of my radio storytelling show seven years ago! This is such…,1,0,48,56032,1,0,0,0,2773,1,neeleshmisra love write this song that become signature tune radio storytelling show seven years this such,0.8435083153430348,LUCKNOW,1,positive
45,Akki_ro45,"Karakat, Bihar",1219,1171,"RT @Akshay_Brigade: BOI First Update For #HF4 Collection ~ 

1st Week ~ 135cr !!!",15,0,6,64240,1,0,0,1,2915,1,akshaybrigade first update collection week 135cr,0.8329497617665896,LUCKNOW,1,positive
33,Pratik86289368,,143,199,"RT @DanishSrk__: King Khan out with little Abram to wave to the fans😍😍

#बादशाहत_के_54_साल #KingKhan #HBDWorldsBiggestMovieStar #HappyBirth…",3,0,0,1154,1,0,0,3,390,1,danishsrk king khan with little abram wave fan 54 kingkhan hbdworldsbiggestmoviestar happybirth,0.7725487658955431,LUCKNOW,1,negative
