,user,location,followers,following,unfiltered_text,retweets,likes,listed_count,tweets,mentions,isreply,verified,hashtags,days,retweeted_before,text,popularity,city,topics,sentiment
2,YogiPandeyUP,Varanasi,31,189,"RT @DrMNPandeyMP: Inaugurated the Future Nexus Industry 4.0 AR/VR, Gaming Learning Lab at Centurion University operating in partnership wit…",17,0,0,22,1,0,0,0,24,1,drmnpandeymp inaugurate future nexus industry arvr game learn centurion university operate partnership wit,,VARANASI,0,negative
20,Santosh57296592,"Varanasi, India",50,228,@Atheist_Krishna @kunalkamra88 Done!!!!!!!,0,0,1,2058,2,1,0,0,573,0,atheistkrishna kunalkamra88 do,,VARANASI,0,neutral
26,holygautam,"Varanasi, India",155,412,"In Freud’s earliest book, the theories, ideas described inside the interpretation of dream supported to manage the… https://t.co/S59aIc74ZZ",0,1,0,58,0,0,0,0,60,0,freud earliest book theories ideas describe inside interpretation dream support manage the,,VARANASI,0,neutral
28,Iam_Babalu,"Mirzapur, India",915,1401,"It’s a very personal decision. Keep it clean or hairy, it’s really very subjective. #BodyHairOrBodyBare https://t.co/bh0HW3a9UE",0,0,0,401,0,0,0,1,169,0,very personal decision keep clean hairy really very subjective bodyhairorbodybare,,VARANASI,0,positive
31,MODIfied_ankit,"Mirzapur, India",1064,509,@narendramodi My heartiest congratulations to the countrymen on the auspicious occasion of Mahaparva Chhath. May th… https://t.co/xhCAesbkCQ,0,0,1,7699,1,1,0,0,693,0,narendramodi heartiest congratulations countrymen auspicious occasion mahaparva chhath,,VARANASI,0,neutral
5,AnilReja,"Ahmadabad City, India",2931,228,RT @Drawaneesh09: @RAVINDER47 @Yuvraj_kt @HRPHRP_9 @vishnulodhi14 @RajeshS08737228 @Rasheed86399396 @RaviTirkey16 @ds2902911gmail1 @teamABH…,1,0,9,63832,9,0,0,0,1188,1,drawaneesh09 ravinder47 yuvrajkt hrphrp9 vishnulodhi14 rajeshs08737228 rasheed86399396 ravitirkey16 ds2902911gmail1 teamabh,,VARANASI,1,neutral
6,GudduBhaiyaa,"Mirzapur, India",600,75,Having a sexy body with hair on chest looks wierd #BodyHairOrBodyBare,0,0,1,3971,0,0,0,1,1207,0,have sexy body with hair chest look wierd bodyhairorbodybare,,VARANASI,1,positive
11,SherinPaul16,"Varanasi, India",12,67,@CafeCoffeeDay Please make sure your outlets have enough supplies. Tried ordering regular sized lattes thrice in a… https://t.co/ROv8N0q9fS,0,0,0,25,1,0,0,0,873,0,cafecoffeeday please make sure your outlets have enough supply try order regular size lattes thrice,,VARANASI,1,positive
12,GudduBhaiyaa,"Mirzapur, India",600,75,Clean chest looks attractive when  u have sexy body #BodyHairOrBodyBare,0,0,1,3971,0,0,0,1,1207,0,clean chest look attractive when have sexy body bodyhairorbodybare,,VARANASI,1,positive
13,GudduBhaiyaa,"Mirzapur, India",600,75,I like clean shave it looks good on me #BodyHairOrBodyBare,0,0,1,3971,0,0,0,1,1207,0,like clean shave look good bodyhairorbodybare,,VARANASI,1,positive
14,GudduBhaiyaa,"Mirzapur, India",600,75,I don't like hairy chest #BodyHairOrBodyBare,0,0,1,3971,0,0,0,1,1207,0,like hairy chest bodyhairorbodybare,,VARANASI,1,neutral
